,id,host_is_superhost,host_listings_count,host_identity_verified,accommodates,bathrooms,price,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,instant_bookable,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_last_review,host_response_time_a few days or more,host_response_time_unknown,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_rate_100%,host_response_rate_50-89%,host_response_rate_90-99%,borough_Ancoats and Clayton,borough_Ardwick,borough_Baguley,borough_Bolton District,borough_Bradford,borough_Brooklands,borough_Burnage,borough_Bury District,borough_Charlestown,borough_Cheetham,borough_Chorlton,borough_Chorlton Park,borough_City Centre,borough_Crumpsall,borough_Didsbury East,borough_Didsbury West,borough_Fallowfield,borough_Gorton North,borough_Gorton South,borough_Harpurhey,borough_Higher Blackley,borough_Hulme,borough_Levenshulme,borough_Longsight,borough_Miles Platting and Newton Heath,borough_Moss Side,borough_Moston,borough_Northenden,borough_Old Moat,borough_Oldham District,borough_Rochdale District,borough_Rusholme,borough_Salford District,borough_Sharston,borough_Stockport District,borough_Tameside District,borough_Trafford District,borough_Whalley Range,borough_Wigan District,borough_Withington,borough_Woodhouse Park,property_type_House,property_type_Other,room_type_Entire home/apt,room_type_Shared room,security_deposit_$0.00,"security_deposit_$1,000.00","security_deposit_$1,300.00","security_deposit_$1,500.00",security_deposit_$100.00,security_deposit_$102.00,security_deposit_$110.00,security_deposit_$120.00,security_deposit_$125.00,security_deposit_$130.00,security_deposit_$132.00,security_deposit_$150.00,security_deposit_$175.00,security_deposit_$180.00,security_deposit_$185.00,security_deposit_$199.00,"security_deposit_$2,000.00",security_deposit_$200.00,security_deposit_$209.00,security_deposit_$235.00,security_deposit_$240.00,security_deposit_$250.00,security_deposit_$262.00,security_deposit_$275.00,security_deposit_$299.00,"security_deposit_$3,000.00","security_deposit_$3,820.00","security_deposit_$3,867.00",security_deposit_$300.00,security_deposit_$301.00,security_deposit_$350.00,security_deposit_$365.00,security_deposit_$390.00,security_deposit_$399.00,security_deposit_$400.00,security_deposit_$450.00,security_deposit_$500.00,security_deposit_$600.00,security_deposit_$62.00,security_deposit_$66.00,security_deposit_$70.00,security_deposit_$700.00,security_deposit_$71.00,security_deposit_$74.00,security_deposit_$75.00,security_deposit_$750.00,security_deposit_$76.00,security_deposit_$77.00,security_deposit_$771.00,security_deposit_$78.00,security_deposit_$79.00,security_deposit_$80.00,security_deposit_$800.00,security_deposit_$81.00,security_deposit_$82.00,security_deposit_$83.00,security_deposit_$85.00,security_deposit_$88.00,security_deposit_$89.00,security_deposit_$90.00,security_deposit_$900.00,security_deposit_$95.00,security_deposit_$99.00,review_scores_rating_0-79/100,review_scores_rating_80-94/100,review_scores_rating_95-100/100,review_scores_accuracy_0-8/10,review_scores_accuracy_10/10,review_scores_accuracy_9/10,review_scores_cleanliness_0-8/10,review_scores_cleanliness_10/10,review_scores_cleanliness_9/10,review_scores_checkin_0-8/10,review_scores_checkin_10/10,review_scores_checkin_9/10,review_scores_communication_0-8/10,review_scores_communication_10/10,review_scores_communication_9/10,review_scores_location_0-8/10,review_scores_location_10/10,review_scores_location_9/10,review_scores_value_0-8/10,review_scores_value_10/10,review_scores_value_9/10,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,time_since_first_review_0-6 months,time_since_first_review_1-2 years,time_since_first_review_2-3 years,time_since_first_review_4+ years,time_since_first_review_6-12 months
272,7057821,0,0.32663425997828094,1,0.7320993680864453,-4.605170185988091,1.5809998372418241,,1.3367528183009176,-4.605170185988091,1.949551840702297,87,0.7320993680864453,0,1397.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,679.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
273,7083657,1,-0.36651292058166435,1,0.5831980807826592,-4.605170185988091,1.5227830126997552,1.3053227409632366,1.224127540701542,-0.36651292058166435,1.949551840702297,77,1.6996936443146262,0,1379.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,52.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
274,7102718,0,-4.605170185988091,0,-4.605170185988091,-4.605170185988091,1.1690321758870559,,,-4.605170185988091,1.949551840702297,0,,0,1378.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
275,7112415,1,0.0940478276166991,1,-0.36651292058166435,-0.36651292058166435,1.3184623205053285,,,-4.605170185988091,1.949551840702297,57,1.3481114856713152,0,1737.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,127.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
276,7231617,0,-4.605170185988091,0,-0.36651292058166435,-4.605170185988091,1.4096066464289525,1.224127540701542,1.0971887003649488,-4.605170185988091,1.949551840702297,0,,0,1398.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
277,7262510,0,-4.605170185988091,1,0.47588499532711054,-0.90272045571788,1.4465648595477707,1.3640546328884455,,-4.605170185988091,1.949551840702297,0,,0,1370.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
278,7302908,0,-4.605170185988091,1,-0.36651292058166435,-0.90272045571788,1.1562690064065475,,,-4.605170185988091,1.949551840702297,0,,0,1415.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
279,7341045,0,-0.36651292058166435,1,-0.36651292058166435,-4.605170185988091,1.4096066464289525,,,-0.36651292058166435,1.2036341000246709,9,,1,1365.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
280,7348181,1,-0.36651292058166435,0,-0.36651292058166435,-4.605170185988091,1.214109997913178,,,-0.36651292058166435,1.7749349530624492,70,1.4498980416116356,0,1488.0,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
281,7384836,0,-4.605170185988091,0,-4.605170185988091,-4.605170185988091,1.1690321758870559,,,-0.36651292058166435,-0.36651292058166435,89,0.7871950081766445,0,1363.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,833.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
