,id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,is_new_listing,is_super_host,reviews_scores_location,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
17,43049962,10.0,1.0,1.0,0.0,,1.0,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,1,0,10.0,7,1,0.0,Studio apartment in kallio Close to city center,2,6,39,1.0,100.0,within an hour,42.0,92.0,1,Entire home/apt,,9.0,42.0,0.0,11,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Etu-Töölö
18,28617132,10.0,1.0,1.0,0.0,4.82,1.0,0.0,1.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,10.0,10,1,1.0,Cozy & Urban studio @ central heart of Helsinki,3,22,95,1.0,0.0,unknown,42.0,92.0,211,Entire home/apt,5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamppi
19,39774805,10.0,1.0,1.0,0.0,4.81,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,4,9.0,10.0,0,1,10.0,31,1,0.9,"Budget-Room by tram, Seafront promenade and Sauna!",3,10,32,1.0,100.0,within an hour,42.0,92.0,27,Private room,5.0,9.0,42.0,0.94,7,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Punavuori
20,36353225,10.0,1.0,1.0,0.0,4.75,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,0,9.0,10.0,0,0,10.0,1125,1,1.0,Cozy home in the true heart of Helsinki,2,13,58,1.0,90.0,within an hour,42.0,92.0,84,Private room,5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kamppi
21,38771885,10.0,1.0,1.0,0.0,4.36,1.0,0.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,10.0,1125,1,0.8,Cosy studio for 3 in Punavuori district w/ balcony,3,8,81,1.0,70.0,within a few hours,42.0,92.0,25,Entire home/apt,4.5,9.0,42.0,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Harju
22,40033351,10.0,1.0,1.0,0.0,4.85,1.5,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,38,9.0,10.0,0,1,10.0,1125,2,0.0,Luxurious apartment in Kampin keskus with sauna,4,19,122,37.0,100.0,within an hour,42.0,92.0,13,Entire home/apt,5.0,9.0,42.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kontula
23,42684617,10.0,1.0,1.0,0.0,5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,10.0,1125,1,0.85,Stylish down town studio with best connections,2,18,46,1.0,100.0,within an hour,42.0,92.0,4,Entire home/apt,5.0,9.0,42.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Kamppi
24,42596142,10.0,1.0,1.0,0.0,,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,1,0,10.0,1125,1,1.0,Community of Kontula - Small cozy private room,1,6,26,1.0,0.0,unknown,42.0,92.0,2,Private room,,9.0,42.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kluuvi
25,41758970,10.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,10.0,1125,1,1.0,In the heart of the city: 1BR apartment w/ balcony,4,13,93,1.0,70.0,within a few hours,42.0,92.0,3,Entire home/apt,4.0,9.0,42.0,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Alppila
26,24045106,10.0,1.0,1.0,0.0,4.77,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9.0,Helsinki,43,9.0,10.0,0,1,10.0,1124,1,0.85,Unique Home,4,11,116,37.0,100.0,within an hour,42.0,92.0,22,Entire home/apt,5.0,9.0,42.0,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Etu-Töölö
