,index,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,available_30,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,guest_overall_satisfaction,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latest_review,latitude,listing_url,localized_city,localized_neighborhood,reviews_scores_location,longitude,max_nights,min_nights,monthly_price_factor,name,neighborhood,p3_summary_address,p3_summary_title,person_capacity,picture_count,preview_amenities,price_night,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_and_property_type,room_type,room_type_category,self_checkin,space_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,amenities,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,host_id,member_since
53,53,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsingfors,10,10/10,10/10,,0,22055402,0,0,1,Private room,,60.18899999999999,https://www.airbnb.com/api/v2/pdp_listing_details/22055402?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,,10/10,25.033379999999998,30,1,1.0,Room with an amazing sea view,,"Helsinki, Finland",Private room in Downtown. Linnanmäki. Kallio,2,11,"Wifi,Kitchen,Heating",,56,37.0,100%,,105.0,80-94/100,119,Private room in condominium,Private room,private_room,,Private room,4.5-5.0/5.0,9/10,105.0,1.0,0,0,"Elevator, Wifi, Kitchen, Air conditioning, Cable TV, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Hot water, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Long term stays allowed, Bed linens, Extra pillows and blankets, Patio or balcony, Smoke alarm",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,161091320.0,2017-12-01
54,54,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,2.0,0,CANCEL_MODERATE,10/10,Helsinki,11,10/10,10/10,,0,37514841,0,0,1,Private room,,60.21134,https://www.airbnb.com/api/v2/pdp_listing_details/37514841?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,10/10,24.96724,31,1,0.8,Charming home (2) in green Kumpula - Blue bedroom,,"Helsingfors, Finland","Centrally located, spacious studio with park view",3,15,"Wifi,Kitchen,Free parking,Heating",,45,1.0,100%,,128.0,95-100/100,33,Private room in apartment,Private room,private_room,,Private room,4.5-5.0/5.0,9/10,128.0,0.9,22,0,"Free parking on premises, Wifi, Kitchen, Air conditioning, Hair dryer, Shampoo, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Building staff, Private entrance, Private living room, Luggage dropoff allowed, Long term stays allowed, Bed linens, Extra pillows and blankets, Lock on bedroom door, Patio or balcony, Garden or backyard, Fire extinguisher, Smoke alarm, First aid kit",1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,203470627.0,2018-07-01
56,56,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsingfors,27,10/10,10/10,,0,31213330,0,0,1,Entire condominium,,60.15605,https://www.airbnb.com/api/v2/pdp_listing_details/31213330?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Munkkisaari,10/10,24.9317,1125,1,0.75,Cozy studio near seaside in hart of Helsinki,Munkkisaari,"Helsingfors, Finland","Centrally located, spacious studio with park view",2,24,"Wifi,Kitchen,Heating",,109,37.0,100%,,128.0,95-100/100,77,Entire condominium,Entire home/apt,entire_home,,Entire condominium,4.5-5.0/5.0,9/10,128.0,0.89,0,217,"Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Lockbox, Long term stays allowed, Garden or backyard, Beachfront, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,224662712.0,2018-11-01
57,57,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,,0,37307947,0,0,0,Entire apartment,,60.165659999999995,https://www.airbnb.com/api/v2/pdp_listing_details/37307947?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,10/10,24.92887,1125,1,0.8,Cosy and luminous studio near Kamppi for 3,Kamppi,"Helsingfors, Finland","Centrally located, spacious studio with park view",3,9,"Wifi,Kitchen,Heating",,92,1.0,50-89%,,128.0,95-100/100,34,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,9/10,128.0,0.9,5,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, High chair, Pack ’n Play/travel crib, Room-darkening shades, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Baking sheet, Keypad, Long term stays allowed, Bed linens, Smoke alarm, Well-lit path to entrance, Step-free path to entrance",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,277298468.0,2019-07-01
59,59,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,3.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,16,10/10,10/10,,0,38743638,0,0,1,Entire apartment,,60.17585,https://www.airbnb.com/api/v2/pdp_listing_details/38743638?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,10/10,24.959410000000002,1125,1,0.8,Unique Location by the Sea with Own Entrance,,"Helsingfors, Finland","Centrally located, spacious studio with park view",4,19,"Wifi,Kitchen,Heating",,114,1.0,100%,,128.0,95-100/100,25,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,9/10,128.0,0.9,27,0,"Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Hot water, Paid parking on premises, Single level home, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Baking sheet, Private entrance, Long term stays allowed, Shower gel, Smoke alarm",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,259433613.0,2019-05-01
60,60,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,10/10,Helsingfors,0,10/10,10/10,,0,37231876,0,0,0,Private room,,60.20264,https://www.airbnb.com/api/v2/pdp_listing_details/37231876?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,,10/10,24.91875,30,1,0.75,"Huone Hartwall-areena,  ja keskuspuiston kupeessa.",,"Helsingfors, Finland","Centrally located, spacious studio with park view",1,4,"Wifi,Kitchen,Heating",,52,1.0,100%,,128.0,95-100/100,37,Private room in apartment,Private room,private_room,,Private room,3.6-4.4/5.0,9/10,128.0,0.87,0,0,"Wifi, Kitchen, Hair dryer, Iron, TV, Washer, Hangers, Heating, Essentials, Hot water, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Patio or balcony, Smoke alarm",0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,138926399.0,2017-07-01
62,62,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,4,10/10,10/10,,0,35713015,0,0,1,Private room,,60.20016999999999,https://www.airbnb.com/api/v2/pdp_listing_details/35713015?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,10/10,25.119139999999998,28,1,0.0,"Budget room! Own balcony, by METRO Helsinki",,"Helsingfors, Finland","Centrally located, spacious studio with park view",3,20,"Wifi,Kitchen,Free parking,Heating",,31,1.0,100%,,128.0,95-100/100,54,Private room in apartment,Private room,private_room,,Private room,4.5-5.0/5.0,9/10,128.0,0.94,7,0,"Free parking on premises, Wifi, Kitchen, Cable TV, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Beach essentials, Hot water, Children’s books and toys, Children’s dinnerware, Crib, Pack ’n Play/travel crib, Room-darkening shades, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Baking sheet, Barbecue utensils, Host greets you, Bed linens, Extra pillows and blankets, Lock on bedroom door, Shower gel, BBQ grill, Patio or balcony, Garden or backyard, Beachfront, Carbon monoxide alarm, Smoke alarm, First aid kit, Well-lit path to entrance, Handheld shower head",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,31242736.0,2015-04-01
63,63,10/10,1.0,1.0,0.0,,nan,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,10/10,Helsingfors,0,10/10,10/10,,0,42985363,0,1,0,Private room,,60.19933,https://www.airbnb.com/api/v2/pdp_listing_details/42985363?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Taka-Töölö,10/10,24.93949,1125,1,0.0,Welcome to a nice bright place to stay,Taka-Töölö,"Helsingfors, Finland","Centrally located, spacious studio with park view",2,5,"Wifi,Kitchen,Heating",,26,40.0,100%,,128.0,95-100/100,0,Private room in guesthouse,Private room,private_room,,Private room,nan,9/10,128.0,0.0,0,0,"Wifi, Kitchen, Breakfast, Indoor fireplace, Air conditioning, Dryer, Hair dryer, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Lock on bedroom door, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,341610431.0,2020-03-01
64,64,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,12,10/10,10/10,,0,28234855,0,0,0,Entire apartment,,60.1876,https://www.airbnb.com/api/v2/pdp_listing_details/28234855?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,10/10,24.95954,10,1,1.0,Cozy & Urban Studio @ well-connected location,,"Helsingfors, Finland","Centrally located, spacious studio with park view",3,15,"Wifi,Kitchen,Heating",,81,1.0,0-49%,,128.0,95-100/100,197,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,9/10,128.0,0.95,13,0,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Pocket wifi, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Stove, Lockbox, Bed linens, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
65,65,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,,0,41869689,0,0,0,Entire apartment,,60.174640000000004,https://www.airbnb.com/api/v2/pdp_listing_details/41869689?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Etu-Töölö,10/10,24.91911,1125,1,0.0,Homey 1br apartment for 4 in Etu-Töölö,Etu-Töölö,"Helsingfors, Finland","Centrally located, spacious studio with park view",4,12,"Wifi,Kitchen,Heating",,92,1.0,50-89%,,128.0,95-100/100,3,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,9/10,128.0,0.0,5,0,"Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Hot water, High chair, Pack ’n Play/travel crib, Room-darkening shades, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Baking sheet, Long term stays allowed, Bed linens, Smoke alarm",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,277298468.0,2019-07-01
66,66,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,0.0,3.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,11,10/10,10/10,,0,14752483,0,0,0,Entire apartment,,60.1656,https://www.airbnb.com/api/v2/pdp_listing_details/14752483?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,10/10,24.930410000000002,1125,1,0.85,"Disinfected well,  cozy spot next to Kamppi",Kamppi,"Helsingfors, Finland","Centrally located, spacious studio with park view",4,18,"Wifi,Kitchen,Heating",,98,1.0,100%,,128.0,95-100/100,434,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,9/10,128.0,0.9,11,0,"Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Ethernet connection, Hot water, High chair, Pack ’n Play/travel crib, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Host greets you, Luggage dropoff allowed, Long term stays allowed, Bed linens, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,52280248.0,2015-12-01
68,68,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,2.0,4.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,38,10/10,10/10,,0,571881,0,0,0,Entire apartment,,60.170069999999996,https://www.airbnb.com/api/v2/pdp_listing_details/571881?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Etu-Töölö,10/10,24.92772,150,1,0.7,Spacious flat in the very center,Etu-Töölö,"Helsingfors, Finland","Centrally located, spacious studio with park view",7,21,"Wifi,Kitchen,Heating",,135,1.0,100%,,128.0,95-100/100,336,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,9/10,128.0,0.85,16,0,"Elevator, Wifi, Kitchen, Air conditioning, Cable TV, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Pack ’n Play/travel crib, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Luggage dropoff allowed, Smoke alarm",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1759513.0,2012-02-01
69,69,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,,0,42638153,0,0,0,Private room,,60.22875,https://www.airbnb.com/api/v2/pdp_listing_details/42638153?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,10/10,24.85057,6,1,0.65,"A cozy, snug & spacious apartment in Helsinki",,"Helsingfors, Finland","Centrally located, spacious studio with park view",2,7,"Kitchen,Free parking,Heating",,38,1.0,50-89%,,128.0,95-100/100,3,Private room in apartment,Private room,private_room,,Private room,4.5-5.0/5.0,9/10,128.0,0.85,5,0,"Free parking on premises, Elevator, Kitchen, Air conditioning, Hair dryer, Shampoo, Washer, Heating, Essentials, Hot water, Smoke alarm, First aid kit",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,201038363.0,2018-07-01
70,70,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,12,10/10,10/10,,0,31094469,0,0,0,Entire apartment,,60.187909999999995,https://www.airbnb.com/api/v2/pdp_listing_details/31094469?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,10/10,24.96019,10,1,1.0,Comfy & Style Studio next to the metro station,,"Helsingfors, Finland","Centrally located, spacious studio with park view",3,19,"Wifi,Kitchen,Heating",,81,1.0,0-49%,,128.0,95-100/100,143,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,9/10,128.0,0.95,13,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Pocket wifi, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Stove, Building staff, Bed linens, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
71,71,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,1.0,1.0,0,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,,0,2189594,0,0,1,Entire apartment,,60.16848,https://www.airbnb.com/api/v2/pdp_listing_details/2189594?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,10/10,24.93497,30,1,0.75,2 rooms in city center,Kamppi,"Helsingfors, Finland","Centrally located, spacious studio with park view",4,26,"Wifi,Kitchen,Heating",,108,1.0,100%,,128.0,95-100/100,304,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,9/10,128.0,0.83,16,217,"Elevator, Wifi, Kitchen, Cable TV, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Game console, Pack ’n Play/travel crib, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Stove, Host greets you, Patio or balcony, Smoke alarm",0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7094478.0,2013-06-01
73,73,nan,0.0,0.0,0.0,,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsingfors,0,nan,nan,,0,38669174,0,0,1,Shared room,,60.161719999999995,https://www.airbnb.com/api/v2/pdp_listing_details/38669174?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Punavuori,nan,24.9411,8,1,0.87,"Shared room in big single apartment, best location",Punavuori,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,6,"Wifi,Kitchen,Heating",,58,1.0,100%,,0.0,nan,26,Shared room in apartment,Shared room,shared_room,,Shared room,4.5-5.0/5.0,nan,0.0,0.87,27,0,"Elevator, Wifi, Kitchen, Breakfast, Hair dryer, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Game console, Room-darkening shades, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Cleaning before checkout, Luggage dropoff allowed, Beachfront, Waterfront, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,295436900.0,2019-09-01
74,74,nan,0.0,0.0,0.0,,4.5-5.0/5.0,1.0,0.0,3.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsinki,0,nan,nan,,0,18400611,0,0,1,Entire apartment,,60.22676,https://www.airbnb.com/api/v2/pdp_listing_details/18400611?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,nan,24.96102,360,1,0.85,Guest-Room OWN Entrance Airport & City Easy Access,,"Helsingfors, Finland",Welcome to a nice bright place to stay,3,30,"Wifi,Free parking,Heating",,75,1.0,100%,,0.0,nan,197,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,nan,0.0,0.9,22,200,"Free parking on premises, Wifi, Cable TV, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Baby monitor, Changing table, Children’s books and toys, Crib, High chair, Pack ’n Play/travel crib, Room-darkening shades, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Private entrance, Luggage dropoff allowed, Long term stays allowed, Bed linens, Extra pillows and blankets, BBQ grill, Patio or balcony, Garden or backyard, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,10271005.0,2013-11-01
75,75,nan,0.0,0.0,0.0,,4.5-5.0/5.0,1.0,1.0,4.0,1,CANCEL_FLEXIBLE,nan,Helsinki,14,nan,nan,,0,39476359,0,0,0,Entire apartment,,60.17898,https://www.airbnb.com/api/v2/pdp_listing_details/39476359?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kruununhaka,nan,24.95168,1125,1,0.7,Helsinki Central Apartment,Kruununhaka,"Helsingfors, Finland",Welcome to a nice bright place to stay,4,22,"Wifi,Kitchen,Heating",,99,1.0,0-49%,,0.0,nan,34,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,nan,0.0,0.8,9,0,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Ethernet connection, Hot water, Children’s books and toys, Crib, Game console, High chair, Pack ’n Play/travel crib, Room-darkening shades, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Long term stays allowed, Bed linens, Extra pillows and blankets, Shower gel, Fire extinguisher, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
76,76,nan,0.0,0.0,0.0,,nan,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,,0,42978180,0,1,0,Entire apartment,,60.17714,https://www.airbnb.com/api/v2/pdp_listing_details/42978180?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,nan,24.93842,16,1,0.55,A cozy one-bedroom apartment with a balcony,,"Helsingfors, Finland",Welcome to a nice bright place to stay,3,5,"Wifi,Kitchen,Free parking,Heating",,154,47.0,100%,,0.0,nan,0,Entire serviced apartment,Entire home/apt,entire_home,,Entire apartment,nan,nan,0.0,0.7,0,0,"Free parking on premises, Wifi, Kitchen, Air conditioning, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Babysitter recommendations, Crib, High chair, Room-darkening shades, EV charger, Paid parking off premises, Paid parking on premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Baking sheet, Luggage dropoff allowed, Long term stays allowed, Bed linens, Shower gel, Patio or balcony, Beachfront, Fire extinguisher, Carbon monoxide alarm, Smoke alarm",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,342122354.0,2020-03-01
77,77,nan,0.0,0.0,0.0,,4.5-5.0/5.0,1.0,0.0,1.0,0,CANCEL_MODERATE,nan,Helsinki,12,nan,nan,,0,35584843,0,0,0,Entire apartment,,60.16089,https://www.airbnb.com/api/v2/pdp_listing_details/35584843?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Punavuori,nan,24.9376,7,1,1.0,Little Retro Studio @ Central Design District Hels,Punavuori,"Helsingfors, Finland",Welcome to a nice bright place to stay,2,12,"Wifi,Kitchen,Heating",,85,1.0,0-49%,,0.0,nan,67,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,nan,0.0,0.95,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Pocket wifi, Paid parking off premises, Single level home, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Stove, Lockbox, Bed linens, Garden or backyard, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,
78,78,nan,0.0,0.0,0.0,,3.6-4.4/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,nan,Helsinki,16,nan,nan,,0,35680811,0,0,0,Entire apartment,,60.15764,https://www.airbnb.com/api/v2/pdp_listing_details/35680811?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Ullanlinna,nan,24.95218,1125,1,0.0,Compact home in Ullanlinna,Ullanlinna,"Helsingfors, Finland",Welcome to a nice bright place to stay,4,5,"Wifi,Heating",,76,1.0,50-89%,,0.0,nan,69,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,nan,0.0,0.9,11,0,"Wifi, Hair dryer, Shampoo, Hangers, Heating, Essentials, Laptop-friendly workspace",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19046248.0,2014-07-01
