,index,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,available_30,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,guest_overall_satisfaction,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latest_review,latitude,listing_url,localized_city,localized_neighborhood,reviews_scores_location,longitude,max_nights,min_nights,monthly_price_factor,name,neighborhood,p3_summary_address,p3_summary_title,person_capacity,picture_count,preview_amenities,price_night,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_and_property_type,room_type,room_type_category,self_checkin,space_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,amenities,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,host_id,member_since
11,11,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,,0,42403312,0,0,0,Entire apartment,,60.1841,https://www.airbnb.com/api/v2/pdp_listing_details/42403312?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kluuvi,nan,24.94869,180,1,0.85,Central Apartment Helsinki Kallio,Kluuvi,,,4,5,"Wifi,Kitchen",,52,1.0,100%,,,nan,3,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,nan,,0.85,16,163,"Wifi, Kitchen, Iron, Hangers, Essentials, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6345250.0,2013-05-01
12,12,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,nan,Helsinki,11,nan,nan,,0,11540653,0,0,0,Entire guest suite,,60.20571999999999,https://www.airbnb.com/api/v2/pdp_listing_details/11540653?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,nan,24.95808,10,1,1.0,Cosy room in a picturesque area,,,,2,14,"Hosted by a business,Wifi,Free parking,Heating",,48,53.0,100%,,,nan,186,Entire guest suite,Entire home/apt,entire_home,,Entire guest suite,3.6-4.4/5.0,nan,,1.0,11,0,"Free parking on premises, Wifi, Dryer, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Free street parking, Coffee maker, Dishes and silverware, Refrigerator, Host greets you, Cleaning before checkout, Bed linens, Extra pillows and blankets, Fire extinguisher, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6552850.0,2013-05-01
13,13,nan,1.0,1.0,0.0,,nan,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsingfors,0,nan,nan,,0,42922180,0,1,0,Private room,,60.199569999999994,https://www.airbnb.com/api/v2/pdp_listing_details/42922180?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,,nan,24.93986,1125,1,0.0,Welcome to a clean private room,,,,2,5,"Wifi,Kitchen,Free parking,Heating",,26,40.0,100%,,,nan,0,Private room in guesthouse,Private room,private_room,,Private room,nan,nan,,0.0,0,0,"Free parking on premises, Gym, Wifi, Kitchen, Breakfast, Indoor fireplace, Air conditioning, Dryer, Hair dryer, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Lock on bedroom door, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,341610431.0,2020-03-01
14,14,nan,1.0,1.0,0.0,,3.6-4.4/5.0,1.0,1.0,3.0,1,CANCEL_MODERATE,nan,Helsingfors,0,nan,nan,,0,42521388,0,0,0,Private room,,60.19797,https://www.airbnb.com/api/v2/pdp_listing_details/42521388?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Taka-Töölö,nan,24.93661,1125,1,0.69,Clean Room w/balcony near City Center & Kallio,Taka-Töölö,,,3,11,"Wifi,Kitchen,Heating",,35,1.0,100%,,,nan,6,Private room in apartment,Private room,private_room,,Private room,3.6-4.4/5.0,nan,,0.9,9,97,"Wifi, Kitchen, Air conditioning, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Heating, Essentials, Hot water, Dishwasher, Refrigerator, Luggage dropoff allowed, Long term stays allowed, Bed linens, Extra pillows and blankets, Carbon monoxide alarm, Smoke alarm",1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,89716645.0,2016-08-01
15,15,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,4,nan,nan,,0,39002105,0,0,1,Private room,,60.202980000000004,https://www.airbnb.com/api/v2/pdp_listing_details/39002105?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Ruskeasuo,nan,24.8937,31,1,0.9,"NEW! Seaside marina, Helsinki, tram, sauna!",Ruskeasuo,,,3,10,"Wifi,Kitchen,Free parking,Heating",,35,1.0,0-49%,,,nan,32,Private room in apartment,Private room,private_room,,Private room,3.6-4.4/5.0,nan,,0.94,7,0,"Free parking on premises, Elevator, Wifi, Kitchen, Cable TV, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Beach essentials, Hot water, Children’s books and toys, Children’s dinnerware, High chair, Pack ’n Play/travel crib, Room-darkening shades, Paid parking off premises, Paid parking on premises, Single level home, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Baking sheet, Barbecue utensils, Host greets you, Luggage dropoff allowed, Long term stays allowed, Bed linens, Extra pillows and blankets, Lock on bedroom door, Shower gel, Patio or balcony, Beachfront, Carbon monoxide alarm, Smoke alarm, First aid kit, Disabled parking spot",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,
16,16,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_MODERATE,nan,Helsinki,38,nan,nan,,0,30949175,0,0,0,Entire apartment,,60.168009999999995,https://www.airbnb.com/api/v2/pdp_listing_details/30949175?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,nan,24.93224,1125,2,0.0,"Tyylikäs Kaksio Kampin Keskuksessa, oma sauna!",Kamppi,,,4,13,"Hosted by a business,Wifi,Kitchen,Heating",,122,1.0,100%,,,nan,42,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,nan,,0.0,16,0,"Elevator, Wifi, Kitchen, Air conditioning, Dryer, Hair dryer, Iron, Shampoo, Washer, Heating, Essentials, Hot water, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Bed linens, Patio or balcony, Smoke alarm",1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,131448493.0,2017-05-01
17,17,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsinki,9,nan,nan,,0,32034311,0,0,1,Private room,,60.182109999999994,https://www.airbnb.com/api/v2/pdp_listing_details/32034311?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Taka-Töölö,nan,24.92645,12,1,1.0,A little comfortable room in the center,Taka-Töölö,,,2,6,"Wifi,Kitchen,Heating",,55,37.0,100%,,,nan,65,Private room in condominium,Private room,private_room,,Private room,4.5-5.0/5.0,nan,,0.9,16,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Hot water, Coffee maker, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Bed linens, Extra pillows and blankets, Shower gel, Smoke alarm",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,219591402.0,2018-10-01
18,18,10/10,1.0,1.0,0.0,,nan,1.0,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,,0,43049962,0,1,0,Entire apartment,,60.18724,https://www.airbnb.com/api/v2/pdp_listing_details/43049962?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,,10/10,24.96658,7,1,0.0,Studio apartment in kallio Close to city center,,"Helsinki, Finland","Tyylikäs Kaksio Kampin Keskuksessa, oma sauna!",2,6,"Wifi,Kitchen,Heating",,39,1.0,100%,,42.0,80-94/100,1,Entire apartment,Entire home/apt,entire_home,,Entire apartment,nan,9/10,42.0,0.0,11,109,"Wifi, Kitchen, Hair dryer, Shampoo, Heating, Essentials, Hot water, Smoke alarm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2020-03-01
20,20,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,,0,28617132,0,0,0,Entire apartment,,60.17012,https://www.airbnb.com/api/v2/pdp_listing_details/28617132?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Etu-Töölö,10/10,24.92739,10,1,1.0,Cozy & Urban studio @ central heart of Helsinki,Etu-Töölö,"Helsinki, Finland","Tyylikäs Kaksio Kampin Keskuksessa, oma sauna!",3,22,"Wifi,Kitchen,Heating",,95,1.0,0-49%,,42.0,80-94/100,211,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,9/10,42.0,0.95,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21,21,10/10,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,4,9/10,10/10,,0,39774805,0,0,1,Private room,,60.20296999999999,https://www.airbnb.com/api/v2/pdp_listing_details/39774805?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Ruskeasuo,10/10,24.893520000000002,31,1,0.9,"Budget-Room by tram, Seafront promenade and Sauna!",Ruskeasuo,"Helsinki, Finland","Tyylikäs Kaksio Kampin Keskuksessa, oma sauna!",3,10,"Wifi,Kitchen,Free parking,Heating",,32,1.0,0-49%,,42.0,80-94/100,27,Private room in apartment,Private room,private_room,,Private room,4.5-5.0/5.0,9/10,42.0,0.94,7,0,"Free parking on premises, Elevator, Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Beach essentials, Hot water, Children’s books and toys, Children’s dinnerware, High chair, Pack ’n Play/travel crib, Room-darkening shades, Paid parking off premises, Paid parking on premises, Single level home, Free street parking, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Baking sheet, Barbecue utensils, Host greets you, Luggage dropoff allowed, Long term stays allowed, Bed linens, Extra pillows and blankets, Lock on bedroom door, Shower gel, Patio or balcony, Beachfront, Carbon monoxide alarm, Smoke alarm, First aid kit, Disabled parking spot",0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,
