,index,accuracy_rating,allows_children,allows_infants,allows_pets,avg_rating,bathrooms,bedroom_label,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,listing_url,location_rating,longitude,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,property_type_id,requires_license,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,member_since
10,11,,,1.0,,4.67,1.5,1 bedroom,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,0,42403312,0,0,0,Entire apartment,60.1841,https://www.airbnb.com/api/v2/pdp_listing_details/42403312?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.94869,180,1,0.85,4,5,$52,1.0,,100.0,within an hour,,,3,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,,,0.85,16,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-05-01
11,12,,,1.0,,4.61,1.0,1 bedroom,1.0,1.0,0,CANCEL_FLEXIBLE,,Helsinki,11,,,0,11540653,0,0,0,Entire guest suite,60.20571999999999,https://www.airbnb.com/api/v2/pdp_listing_details/11540653?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.95808,10,1,1.0,2,14,$48,53.0,,100.0,within a few hours,,,186,Entire guest suite,Entire home/apt,entire_home,Entire guest suite,4.5,,,1.0,11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2013-05-01
12,13,,,1.0,,,1.0,1 bedroom,1.0,,1,CANCEL_FLEXIBLE,,Helsinki,0,,,0,42922180,0,1,0,Private room,60.19957,https://www.airbnb.com/api/v2/pdp_listing_details/42922180?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.93986,1125,1,0.0,2,5,$26,40.0,,100.0,unknown,,,0,Private room in guesthouse,Private room,private_room,Private room,,,,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2020-03-01
13,14,,,1.0,,4.33,1.0,1 bedroom,1.0,3.0,1,CANCEL_MODERATE,,Helsinki,0,,,0,42521388,0,0,0,Private room,60.19797,https://www.airbnb.com/api/v2/pdp_listing_details/42521388?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.93661,1125,1,0.69,3,11,$35,1.0,,100.0,unknown,,,6,Private room in apartment,Private room,private_room,Private room,4.5,,,0.9,9,97,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2016-08-01
14,15,,,1.0,,4.66,1.5,1 bedroom,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,4,,,0,39002105,0,0,1,Private room,60.20298,https://www.airbnb.com/api/v2/pdp_listing_details/39002105?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.8937,31,1,0.9,3,10,$35,1.0,,0.0,unknown,,,32,Private room in apartment,Private room,private_room,Private room,4.5,,,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
15,16,,,1.0,,4.62,1.0,1 bedroom,1.0,2.0,1,CANCEL_MODERATE,,Helsinki,38,,,0,30949175,0,0,0,Entire apartment,60.16801,https://www.airbnb.com/api/v2/pdp_listing_details/30949175?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.93224,1125,2,0.0,4,13,$122,1.0,,100.0,unknown,,,42,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,,,0.0,16,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2017-05-01
16,17,,,1.0,,4.88,1.5,1 bedroom,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,9,,,0,32034311,0,0,1,Private room,60.18211,https://www.airbnb.com/api/v2/pdp_listing_details/32034311?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.92645,12,1,1.0,2,6,$55,37.0,,100.0,within an hour,,,65,Private room in condominium,Private room,private_room,Private room,5.0,,,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018-10-01
17,18,10.0,1.0,1.0,0.0,,1.0,1 bedroom,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,43049962,0,1,0,Entire apartment,60.18724,https://www.airbnb.com/api/v2/pdp_listing_details/43049962?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.96658,7,1,0.0,2,6,$39,1.0,0.0,0.0,unknown,42.0,92.0,1,Entire apartment,Entire home/apt,entire_home,Entire apartment,,9.0,42.0,0.0,11,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
18,20,10.0,1.0,1.0,0.0,4.82,1.0,Studio,0.0,1.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,28617132,0,0,0,Entire apartment,60.17012,https://www.airbnb.com/api/v2/pdp_listing_details/28617132?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.92739,10,1,1.0,3,22,$95,1.0,0.0,0.0,unknown,42.0,92.0,211,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,21,10.0,1.0,1.0,0.0,4.81,1.5,1 bedroom,1.0,1.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,4,9.0,10.0,0,39774805,0,0,1,Private room,60.20296999999999,https://www.airbnb.com/api/v2/pdp_listing_details/39774805?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,10.0,24.89352,31,1,0.9,3,10,$32,1.0,0.0,0.0,unknown,42.0,92.0,27,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.94,7,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,
