,id,accuracy_rating,allows_children,allows_infants,allows_pets,avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,localized_city,location_rating,longitude,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
10,42403312,,,,,4.67,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,0,0,0,0,Entire apartment,60.1841,Helsinki,,24.94869,180,1,0.85,Central Apartment Helsinki Kallio,4,5,52,1.0,100.0,within an hour,,,3,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,,,0.85,16,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kumpula
11,11540653,,,,,4.61,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,,Helsinki,11,,,0,0,0,0,Entire guest suite,60.20571999999999,Helsinki,,24.95808,10,1,1.0,Cosy room in a picturesque area,2,14,48,53.0,100.0,within an hour,,,186,Entire guest suite,Entire home/apt,entire_home,Entire guest suite,4.5,,,1.0,11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Itä-Pasila
12,42922180,,,,,,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,0,0,1,0,Private room,60.199569999999994,Helsingfors,,24.93986,1125,1,0.0,Welcome to a clean private room,2,5,26,40.0,100.0,within an hour,,,0,Private room in guesthouse,Private room,private_room,Private room,,,,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Itä-Pasila
13,42521388,,,,,4.33,1.0,1.0,3.0,1,CANCEL_MODERATE,,Helsinki,0,,,0,0,0,0,Private room,60.19797,Helsingfors,,24.93661,1125,1,0.69,Clean Room w/balcony near City Center & Kallio,3,11,35,1.0,100.0,within an hour,,,6,Private room in apartment,Private room,private_room,Private room,4.5,,,0.9,9,97,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Pikku Huopalahti
14,39002105,,,,,4.66,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,4,,,0,0,0,1,Private room,60.202980000000004,Helsinki,,24.8937,31,1,0.9,"NEW! Seaside marina, Helsinki, tram, sauna!",3,10,35,1.0,100.0,within an hour,,,32,Private room in apartment,Private room,private_room,Private room,4.5,,,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Kamppi
15,30949175,,,,,4.62,1.0,1.0,2.0,1,CANCEL_MODERATE,,Helsinki,38,,,0,0,0,0,Entire apartment,60.168009999999995,Helsinki,,24.93224,1125,2,0.0,"Tyylikäs Kaksio Kampin Keskuksessa, oma sauna!",4,13,122,1.0,100.0,within an hour,,,42,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,,,0.0,16,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Taka-Töölö
16,32034311,,,,,4.88,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,9,,,0,0,0,1,Private room,60.182109999999994,Helsinki,,24.92645,12,1,1.0,A little comfortable room in the center,2,6,55,37.0,100.0,within an hour,,,65,Private room in condominium,Private room,private_room,Private room,5.0,,,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Vilhonvuori
17,43049962,10.0,1.0,1.0,0.0,,1.0,1.0,2.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,1,0,Entire apartment,60.18724,Helsinki,10.0,24.96658,7,1,0.0,Studio apartment in kallio Close to city center,2,6,39,1.0,100.0,within an hour,42.0,92.0,1,Entire apartment,Entire home/apt,entire_home,Entire apartment,,9.0,42.0,0.0,11,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Etu-Töölö
18,28617132,10.0,1.0,1.0,0.0,4.82,1.0,0.0,1.0,1,CANCEL_MODERATE,9.0,Helsinki,0,9.0,10.0,0,0,0,0,Entire apartment,60.17012,Helsinki,10.0,24.92739,10,1,1.0,Cozy & Urban studio @ central heart of Helsinki,3,22,95,1.0,0.0,unknown,42.0,92.0,211,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,9.0,42.0,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kamppi
19,39774805,10.0,1.0,1.0,0.0,4.81,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,4,9.0,10.0,0,0,0,1,Private room,60.20296999999999,Helsinki,10.0,24.893520000000002,31,1,0.9,"Budget-Room by tram, Seafront promenade and Sauna!",3,10,32,1.0,100.0,within an hour,42.0,92.0,27,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.94,7,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Punavuori
