,id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,is_new_listing,is_super_host,reviews_scores_location,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
0,22858494,,1.0,1.0,0.0,4.5-5.0/5.0,0.5,0.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,0,0,,1125,1,0.0,2,17,38,1.0,100%,within an hour,,,365,Entire home/apt,3.6-4.4/5.0,,,0.9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Kamppi
1,16501244,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,3.0,0,CANCEL_MODERATE,,Helsinki,0,,,0,1,,60,1,0.8,7,22,58,37.0,100%,within an hour,,,327,Entire home/apt,4.5-5.0/5.0,,,0.88,8,217,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Kamppi
2,28982354,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,0,1,,6,1,0.0,3,3,26,1.0,50-89%,within an hour,,,115,Shared room,4.5-5.0/5.0,,,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Siltasaari
3,41969547,,1.0,1.0,0.0,,4.0,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,1,0,,1125,1,0.0,1,14,24,45.0,100%,within an hour,,,2,Shared room,,,,0.0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kamppi
4,42901953,,1.0,1.0,0.0,,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,11,,,1,0,,1125,1,0.9,4,13,55,1.0,100%,within a few hours,,,1,Entire home/apt,,,,0.9,0,2173,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Linjat
5,21557494,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,,Helsinki,0,,,0,1,,7,1,0.0,1,6,49,1.0,100%,within a few hours,,,162,Private room,4.5-5.0/5.0,,,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kluuvi
6,32799667,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,,Helsinki,27,,,0,1,,1125,1,0.0,4,21,64,1.0,100%,within an hour,,,138,Entire home/apt,4.5-5.0/5.0,,,0.0,33,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Etu-Töölö
7,18230458,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,0.0,2.0,1,CANCEL_MODERATE,,Helsinki,16,,,0,1,,1125,1,0.9,2,12,76,1.0,100%,within a few hours,,,76,Entire home/apt,4.5-5.0/5.0,,,0.95,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Kamppi
8,25500683,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,0,CANCEL_MODERATE,,Helsinki,11,,,0,1,,1125,1,0.9,3,27,77,37.0,90-99%,within a few hours,,,93,Entire home/apt,4.5-5.0/5.0,,,0.93,33,217,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Ullanlinna
9,11468881,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,,Helsinki,26,,,0,0,,1124,1,0.0,2,9,75,1.0,100%,within an hour,,,503,Entire home/apt,3.6-4.4/5.0,,,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Linjat
